"item_id","order_id","product_id","quantity","price_at_purchase","discount_percent"
1,1,30,0.41,145.27,5
2,1,12,0.53,86.7,0
3,1,92,1.08,322.88,5
4,1,78,3.0,51.93,5
5,2,36,0.9,87.71,10
6,2,87,1.28,472.19,15
7,2,46,0.99,156.6,0
8,2,40,1.19,113.29,5
9,2,95,0.58,446.25,5
10,2,93,0.51,642.31,0
11,2,76,1.0,50.48,0
12,3,92,0.94,322.88,0
13,3,32,0.34,95.42,5
14,3,2,0.64,70.71,0
15,3,103,0.67,375.12,15
16,3,9,1.58,75.04,5
17,4,10,0.97,63.7,0
18,4,84,1.0,39.3,0
19,5,22,0.93,135.76,0
20,5,12,1.09,86.7,5
21,5,55,1.93,162.32,0
22,5,81,1.0,57.15,15
23,6,102,0.96,622.95,15
24,6,98,1.78,502.38,0
25,6,33,1.32,119.99,0
26,6,64,1.7,480.06,10
27,6,64,1.11,480.06,5
28,6,18,0.42,90.85,0
29,7,3,1.51,69.85,0
30,7,29,0.4,90.93,10
31,7,62,0.67,323.63,10
32,7,101,0.93,514.24,5
33,7,10,0.99,63.7,10
34,7,64,1.08,480.06,10
35,8,9,1.05,75.04,5
36,8,29,1.04,90.93,10
37,8,103,0.36,375.12,10
38,9,76,3.0,50.48,15
39,9,59,1.05,493.85,15
40,9,22,1.38,135.76,0
41,9,54,0.54,180.24,0
42,10,93,0.81,642.31,0
43,10,56,0.63,480.14,10
44,10,86,1.0,50.38,5
45,10,46,1.66,156.6,0
46,10,84,2.0,39.3,10
47,11,58,1.54,505.62,0
48,11,96,0.67,333.02,0
49,11,12,1.87,86.7,5
50,11,97,0.49,624.06,15
51,11,98,1.08,502.38,0
52,12,2,1.81,70.71,15
53,13,40,1.72,113.29,10
54,13,24,1.18,122.05,0
55,13,60,1.67,325.54,0
56,13,9,0.68,75.04,0
57,14,63,1.99,336.58,0
58,14,46,1.92,156.6,0
59,14,3,1.66,69.85,0
60,14,34,0.48,132.0,0
61,14,54,1.24,180.24,0
62,14,75,1.0,42.97,5
63,15,1,1.56,69.72,5
64,16,15,1.91,68.97,15
65,16,98,0.41,502.38,0
66,17,93,1.1,642.31,0
67,17,76,2.0,50.48,0
68,17,77,1.0,37.81,0
69,17,48,0.7,147.92,5
70,18,89,0.7,566.61,0
71,18,67,1.34,499.02,0
72,18,63,0.87,336.58,10
73,18,80,2.0,59.15,10
74,18,36,0.94,87.71,0
75,18,6,0.47,110.57,0
76,18,67,1.65,499.02,0
77,18,77,1.0,37.81,10
78,18,76,2.0,50.48,5
79,19,97,0.6,624.06,0
80,19,4,0.8,85.3,0
81,19,78,3.0,51.93,15
82,19,61,1.86,268.76,15
83,19,44,0.91,131.81,10
84,20,79,1.0,74.07,0
85,20,67,1.34,499.02,0
86,20,14,1.64,92.91,5
87,20,29,1.7,90.93,5
88,21,32,1.34,95.42,0
89,21,89,0.41,566.61,10
90,21,85,2.0,39.01,0
91,21,60,1.39,325.54,15
92,22,92,1.75,322.88,15
93,22,81,1.0,57.15,15
94,22,22,1.1,135.76,5
95,22,80,2.0,59.15,10
96,23,50,0.7,127.26,0
97,23,9,1.43,75.04,0
98,23,102,0.71,622.95,0
99,23,96,1.5,333.02,0
100,23,81,1.0,57.15,0
101,23,25,1.3,108.45,0
102,23,21,0.55,141.81,5
103,24,50,1.28,127.26,15
104,24,14,1.12,92.91,5
105,24,29,0.51,90.93,15
106,24,32,1.44,95.42,15
107,24,31,1.24,103.88,10
108,24,8,0.81,118.14,15
109,24,68,0.66,389.95,5
110,24,103,1.42,375.12,0
111,24,65,0.57,438.6,0
112,24,9,0.89,75.04,0
113,25,40,1.94,113.29,15
114,25,87,1.77,472.19,5
115,25,75,1.0,42.97,0
116,26,31,0.31,103.88,0
117,27,57,1.8,365.92,0
118,27,83,3.0,44.85,10
119,27,68,1.14,389.95,0
120,27,39,1.84,130.99,15
121,27,98,0.61,502.38,0
122,27,28,1.61,150.62,15
123,27,45,0.91,117.18,0
124,27,74,3.0,42.56,0
125,28,67,0.87,499.02,15
126,28,1,1.76,69.72,15
127,29,21,1.34,141.81,5
128,29,81,3.0,57.15,0
129,29,25,1.07,108.45,15
130,29,72,1.3,471.68,0
131,29,92,1.22,322.88,5
132,29,81,1.0,57.15,0
133,30,40,1.09,113.29,10
134,30,8,1.27,118.14,0
135,30,49,1.72,127.41,0
136,30,103,1.06,375.12,0
137,30,40,1.82,113.29,0
138,30,57,1.69,365.92,15
139,30,59,1.84,493.85,0
140,30,57,0.97,365.92,0
141,30,102,1.2,622.95,0
142,30,25,0.68,108.45,5
143,30,69,0.71,494.35,0
144,31,45,1.15,117.18,15
145,31,14,1.65,92.91,15
146,32,30,1.21,145.27,10
147,32,41,0.79,188.79,0
148,32,78,1.0,51.93,5
149,32,75,3.0,42.97,15
150,32,98,0.86,502.38,10
151,32,78,3.0,51.93,0
152,33,87,0.34,472.19,0
153,33,6,1.88,110.57,15
154,33,81,2.0,57.15,0
155,33,101,1.42,514.24,15
156,34,45,1.6,117.18,0
157,34,102,0.83,622.95,10
158,34,59,1.48,493.85,15
159,34,6,0.42,110.57,0
160,34,45,1.78,117.18,0
161,34,45,1.92,117.18,0
162,35,50,0.87,127.26,10
163,36,29,1.44,90.93,0
164,36,91,1.64,562.14,0
165,36,49,1.64,127.41,0
166,36,40,0.6,113.29,0
167,36,91,1.23,562.14,0
168,36,38,1.53,116.39,10
169,36,54,1.67,180.24,0
170,37,82,3.0,73.18,10
171,37,18,0.63,90.85,15
172,37,81,2.0,57.15,0
173,37,77,2.0,37.81,5
174,37,27,1.65,155.98,5
175,38,88,1.38,454.64,10
176,38,40,1.57,113.29,0
177,39,48,0.96,147.92,15
178,39,98,0.93,502.38,0
179,39,43,0.36,151.48,0
180,39,3,0.31,69.85,0
181,39,27,0.33,155.98,15
182,39,31,1.89,103.88,15
183,39,34,0.88,132.0,15
184,40,1,1.18,69.72,0
185,40,66,1.31,506.57,5
186,40,81,2.0,57.15,10
187,41,88,1.64,454.64,15
188,41,80,2.0,59.15,0
189,41,70,0.83,444.53,5
190,41,40,0.8,113.29,0
191,41,71,0.39,447.37,0
192,42,18,0.88,90.85,5
193,42,72,1.97,471.68,10
194,42,4,0.92,85.3,5
195,42,5,0.82,106.88,0
196,43,81,1.0,57.15,10
197,43,29,1.32,90.93,0
198,43,102,0.92,622.95,0
199,43,43,1.96,151.48,0
200,43,98,0.84,502.38,0
201,43,74,1.0,42.56,10
202,44,65,1.59,438.6,10
203,44,96,1.85,333.02,0
204,44,95,1.68,446.25,10
205,45,70,0.47,444.53,5
206,45,69,1.58,494.35,0
207,45,89,0.83,566.61,5
208,45,8,0.46,118.14,0
209,46,5,0.48,106.88,5
210,46,72,0.37,471.68,0
211,46,28,0.99,150.62,0
212,46,44,0.75,131.81,10
213,46,68,1.9,389.95,0
214,46,67,0.44,499.02,0
215,47,36,1.1,87.71,15
216,47,69,1.5,494.35,0
217,47,77,3.0,37.81,15
218,48,95,1.54,446.25,0
219,48,17,1.14,101.8,0
220,48,31,0.4,103.88,0
221,48,48,1.34,147.92,5
222,48,65,0.63,438.6,10
223,48,45,0.8,117.18,0
224,49,34,1.35,132.0,0
225,49,47,1.5,138.47,0
226,49,11,1.4,63.21,5
227,50,73,3.0,45.19,0
228,50,57,1.28,365.92,15
229,50,47,1.29,138.47,15
230,50,97,0.72,624.06,15
231,51,77,1.0,37.81,0
232,51,81,2.0,57.15,0
233,51,48,1.28,147.92,15
234,52,28,0.65,150.62,0
235,52,12,0.55,86.7,15
236,53,81,3.0,57.15,0
237,53,76,2.0,50.48,15
238,53,88,0.64,454.64,15
239,53,95,0.55,446.25,5
240,53,39,0.9,130.99,15
241,53,38,1.76,116.39,15
242,53,43,0.71,151.48,5
243,53,36,1.91,87.71,5
244,54,8,1.81,118.14,0
245,55,66,0.79,506.57,0
246,55,74,2.0,42.56,0
247,55,43,1.02,151.48,0
248,55,76,2.0,50.48,10
249,55,83,1.0,44.85,10
250,55,16,1.07,119.73,0
251,55,80,3.0,59.15,0
252,56,39,1.12,130.99,5
253,56,28,1.84,150.62,0
254,56,56,1.63,480.14,15
255,56,65,1.13,438.6,0
256,56,52,1.98,175.27,10
257,57,45,1.47,117.18,0
258,57,5,1.77,106.88,10
259,57,101,1.66,514.24,15
260,57,19,0.99,78.19,0
261,58,4,1.59,85.3,15
262,58,40,1.88,113.29,10
263,58,98,1.28,502.38,10
264,58,75,1.0,42.97,15
265,58,22,1.14,135.76,10
266,59,69,0.3,494.35,0
267,59,18,0.62,90.85,15
268,59,61,0.82,268.76,5
269,59,8,0.73,118.14,0
270,59,29,1.3,90.93,15
271,59,1,0.98,69.72,10
272,59,44,1.26,131.81,0
273,59,24,0.46,122.05,5
274,59,70,1.36,444.53,0
275,60,53,1.14,127.64,5
276,60,29,1.93,90.93,0
277,60,46,1.47,156.6,0
278,60,102,1.26,622.95,0
279,61,3,0.42,69.85,15
280,61,52,1.98,175.27,10
281,61,51,1.05,189.18,0
282,61,61,0.68,268.76,0
283,61,78,1.0,51.93,0
284,61,58,0.46,505.62,0
285,61,18,0.32,90.85,10
286,61,74,2.0,42.56,0
287,62,15,1.87,68.97,10
288,62,89,0.5,566.61,0
289,62,58,1.64,505.62,10
290,63,32,1.22,95.42,15
291,63,97,1.59,624.06,15
292,64,96,1.16,333.02,0
293,64,97,1.87,624.06,0
294,64,22,0.3,135.76,15
295,64,71,0.89,447.37,0
296,64,3,1.58,69.85,10
297,65,80,3.0,59.15,0
298,65,21,0.63,141.81,0
299,65,4,0.7,85.3,0
300,65,41,1.55,188.79,0
301,65,47,1.71,138.47,0
302,66,44,0.35,131.81,15
303,66,55,1.85,162.32,0
304,66,69,0.92,494.35,0
305,66,47,1.72,138.47,5
306,67,1,0.94,69.72,10
307,67,40,0.6,113.29,5
308,67,68,0.48,389.95,0
309,67,17,0.66,101.8,0
310,67,82,2.0,73.18,0
311,67,26,1.04,115.25,15
312,67,5,1.68,106.88,0
313,67,42,1.51,144.77,15
314,67,98,1.24,502.38,15
315,68,72,2.0,471.68,10
316,68,45,1.42,117.18,0
317,68,27,1.92,155.98,5
318,68,38,0.59,116.39,5
319,68,25,0.77,108.45,0
320,69,39,1.61,130.99,5
321,69,56,1.88,480.14,10
322,69,45,0.5,117.18,15
323,69,9,0.52,75.04,0
324,69,17,0.69,101.8,15
325,70,98,1.51,502.38,0
326,70,71,0.39,447.37,0
327,70,27,1.22,155.98,0
328,70,50,1.66,127.26,0
329,70,98,1.84,502.38,10
330,71,91,0.88,562.14,10
331,71,31,0.46,103.88,0
332,71,55,0.86,162.32,0
333,71,32,1.71,95.42,0
334,72,85,1.0,39.01,10
335,72,85,2.0,39.01,0
336,72,59,1.02,493.85,15
337,73,7,1.99,80.41,0
338,73,16,0.35,119.73,0
339,73,8,1.63,118.14,15
340,74,97,1.56,624.06,15
341,74,4,1.3,85.3,0
342,74,56,1.47,480.14,5
343,74,99,1.92,484.29,0
344,74,44,1.05,131.81,10
345,75,63,1.98,336.58,0
346,75,45,0.94,117.18,0
347,75,6,1.65,110.57,10
348,76,47,1.68,138.47,10
349,76,66,1.44,506.57,10
350,76,91,1.11,562.14,5
351,76,101,1.19,514.24,0
352,76,84,1.0,39.3,0
353,77,53,1.1,127.64,10
354,78,32,0.74,95.42,0
355,78,34,0.94,132.0,15
356,78,52,0.88,175.27,0
357,79,64,0.51,480.06,5
358,80,31,0.38,103.88,0
359,80,66,1.7,506.57,10
360,80,77,2.0,37.81,15
361,80,46,0.37,156.6,15
362,80,72,0.37,471.68,5
363,80,86,1.0,50.38,5
364,80,33,0.65,119.99,5
365,80,91,1.32,562.14,10
366,80,1,1.25,69.72,10
367,80,38,0.9,116.39,0
368,81,40,0.4,113.29,0
369,81,79,1.0,74.07,5
370,81,40,0.73,113.29,10
371,82,92,0.74,322.88,15
372,82,78,1.0,51.93,10
373,82,45,1.91,117.18,5
374,83,70,0.62,444.53,15
375,83,79,1.0,74.07,5
376,84,41,1.35,188.79,0
377,84,82,3.0,73.18,0
378,84,57,1.19,365.92,15
379,85,45,0.71,117.18,5
380,85,15,1.59,68.97,0
381,85,39,0.93,130.99,15
382,85,80,3.0,59.15,5
383,85,32,0.66,95.42,0
384,85,42,1.93,144.77,0
385,86,51,0.9,189.18,0
386,86,70,1.59,444.53,0
387,87,77,1.0,37.81,0
388,87,37,0.63,91.96,15
389,87,7,0.34,80.41,0
390,87,102,1.1,622.95,0
391,87,68,1.0,389.95,0
392,87,18,1.77,90.85,10
393,87,14,1.28,92.91,10
394,88,38,1.49,116.39,10
395,88,95,0.6,446.25,0
396,88,22,0.86,135.76,0
397,88,59,1.09,493.85,15
398,89,101,0.4,514.24,0
399,89,3,0.71,69.85,0
400,89,19,0.66,78.19,0
401,89,76,1.0,50.48,10
402,89,100,0.74,339.26,0
403,90,32,0.45,95.42,15
404,90,4,1.32,85.3,10
405,90,45,1.09,117.18,0
406,90,101,1.23,514.24,10
407,91,83,2.0,44.85,0
408,91,102,0.53,622.95,15
409,91,3,0.85,69.85,0
410,91,4,0.37,85.3,5
411,91,96,1.75,333.02,15
412,91,26,0.43,115.25,0
413,92,46,1.08,156.6,10
414,92,63,1.76,336.58,10
415,92,95,1.52,446.25,10
416,92,66,1.82,506.57,0
417,92,70,1.85,444.53,0
418,92,86,1.0,50.38,0
419,92,83,3.0,44.85,0
420,92,54,0.87,180.24,5
421,92,104,0.49,415.54,0
422,93,26,1.38,115.25,5
423,93,60,0.75,325.54,0
424,93,46,1.7,156.6,10
425,93,22,0.5,135.76,15
426,94,86,2.0,50.38,0
427,94,84,1.0,39.3,0
428,94,101,0.83,514.24,0
429,94,46,1.67,156.6,10
430,95,78,1.0,51.93,5
431,95,32,1.2,95.42,0
432,95,48,1.72,147.92,10
433,95,9,0.54,75.04,5
434,96,67,0.55,499.02,0
435,97,79,1.0,74.07,15
436,97,101,1.57,514.24,15
437,97,31,0.8,103.88,10
438,97,26,1.21,115.25,15
439,97,75,1.0,42.97,0
440,97,52,1.37,175.27,0
